file_path,releaseId,sbom_deps,graph_deps,dependencies_match
sbom/org/janusgraph/janusgraph/1.1.0-20240725-225243.caac463/janusgraph-1.1.0-20240725-225243.caac463-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240725-225243.caac463,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240725-225243.caac463/janusgraph-1.1.0-20240725-225243.caac463-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240725-225243.caac463,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240711-024346.e63ff5f/janusgraph-1.0.1-20240711-024346.e63ff5f-cyclonedx.json,org.janusgraph:janusgraph:1.0.1-20240711-024346.e63ff5f,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240711-024346.e63ff5f/janusgraph-1.0.1-20240711-024346.e63ff5f-cyclonedx.xml,org.janusgraph:janusgraph:1.0.1-20240711-024346.e63ff5f,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240412-093507.f178ef1/janusgraph-1.1.0-20240412-093507.f178ef1-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240412-093507.f178ef1,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240412-093507.f178ef1/janusgraph-1.1.0-20240412-093507.f178ef1-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240412-093507.f178ef1,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240523-065810.082e6c0/janusgraph-1.0.1-20240523-065810.082e6c0-cyclonedx.json,org.janusgraph:janusgraph:1.0.1-20240523-065810.082e6c0,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240523-065810.082e6c0/janusgraph-1.0.1-20240523-065810.082e6c0-cyclonedx.xml,org.janusgraph:janusgraph:1.0.1-20240523-065810.082e6c0,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240730-134328.1f0a588/janusgraph-1.0.1-20240730-134328.1f0a588-cyclonedx.xml,org.janusgraph:janusgraph:1.0.1-20240730-134328.1f0a588,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240730-134328.1f0a588/janusgraph-1.0.1-20240730-134328.1f0a588-cyclonedx.json,org.janusgraph:janusgraph:1.0.1-20240730-134328.1f0a588,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240515-075548.3c1a40c/janusgraph-1.1.0-20240515-075548.3c1a40c-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240515-075548.3c1a40c,23,3,False
